Company Name,Website,Founders,Founded Year,Business Model,Technical,stage,Latest Round,Funding Trajectory,Investors,Valuation,source：,last_researched
Terra AI,https://www.terraai.com/,"John Mern (CEO, Stanford PhD - SISL), Anthony Corso (CTO, Stanford PhD)",2023,Enterprise B2B AI platform (SaaS) — sold via direct sales + strategic partnerships to mining & energy majors,"Diffusion models / generative models (确认,多源). 生成 ""millions of possible 3D subsurface models conditioned to match the signal"" + ""reasoning agent"" for campaign planning。数据 = 真实多模态: drill cores + geophysics + geochemistry (合成数据仅作为模型输出,非训练输入)",多阶段: Target Screening (greenfield/undercover) + Survey Design + Dynamic Drilling (resource definition),Seed · $3.39M · Oct 2023 (publicly announced 2025 when emerging from stealth),"NSF grants → Seed $3.39M (2023, led by Khosla Ventures) → Rio Tinto strategic investment (2025) → Series A upcoming (announced intent, not closed)","Khosla Ventures (lead), Rio Tinto (strategic, 2025), Storyhouse Ventures, Plug and Play, TomKat Center for Sustainability (Stanford), Climate Capital, US National Science Foundation","未公开 (Seed $3.4M 2023, Khosla 领投;无估值披露)","https://www.choppingblock.ai/companies/terra-ai
https://www.terraai.com/minerals",
GeologicAI,https://www.geologicai.com/,"Grant Sanden (CEO, Co-founder), Yannai Segal (Chief Strategy Officer, Co-founder) — both University of Calgary engineering grads","2013 (originally as Enersoft, oil & gas; pivoted to mining 2021, renamed GeologicAI)","B2B hardware + software + services hybrid for mining majors — on-site core-scanning trailers (operated by GeologicAI) + AI software subscription, expanding via M&A (RMS, Lumo Analytics)","Convolutional Neural Networks (CNN) — ""trained on millions of validated mineral samples"". 数据 = 真实多传感器 core scan 数据: XRF (X-ray fluorescence) + 高光谱 (SWIR + VNIR) + magnetic susceptibility + LiDAR + RGB imagery + LIBS (后续 Lumo 收购)。无 diffusion / 无合成数据 / 无卫星图像","Resource definition + characterization + production optimization (扫描已钻 cores,不做 greenfield 预测)","Series B · $44M USD / $60.5M CAD · Jul 17, 2025 (all-equity, led by Blue Earth Capital)","Bootstrapped/early grants → Series A $30M USD (Jul 2023, led by Breakthrough Energy Ventures $20M + Export Development Canada $10M) → Series B $44M USD (Jul 2025, led by Blue Earth Capital)。Total raised ~$74M USD","Series A: Breakthrough Energy Ventures (lead, Bill Gates-backed), Export Development Canada. Series B: Blue Earth Capital (lead, Swiss impact investor), BHP Ventures, Rio Tinto, Breakthrough Energy Ventures (follow-on)",未公开 (Series B $44M USD Jul 2025 — Segal declined to disclose valuation per BetaKit),"https://financialpost.com/pmn/business-wire-news-releases-pmn/geologicai-raises-44-million-usd-series-b-to-accelerate-ai-driven-discovery-and-development-of-critical-minerals-globally
https://betakit.com/geologicai-closes-20-million-series-a-to-develop-ai-powered-robot-geologists/",
Fleet Space Technologies,https://www.fleetspace.com/,"Flavia Tata Nardini (CEO & Co-Founder, 前 European Space Agency propulsion engineer), Matt Pearson (CXO & Co-Founder), Dr. Hemant Chaurasia (CTO)","2015 (Adelaide, South Australia)","Vertically-integrated exploration-as-a-service — proprietary LEO satellite network + smart seismic sensors (Geode) + multimodal AI (ExoSphere); end-to-end service delivery (not SaaS); 130+ employees, customers incl. Rio Tinto / Barrick Gold / Ma'aden; vertical moat unmatched in cohort","Multimodal AI foundation model (公司称 ""world-first multimodal foundation model for critical mineral discovery"")。建设中: Full Waveform Inversion (FWI) 加速 by Fourier Neural Operators (FNO) — 声称 100× 快于传统方法。数据 = 真实多物理: 3D Ambient Noise Tomography (ANT) + Magnetotelluric (MT) + Gravity + HVSR + Active Seismic + IP + 钻探数据,通过自家 Geode 传感器 + LEO 卫星 telemetry 采集。无 diffusion 声明;卫星用于数据传输不是成像",多阶段: 重点 pre-drill targeting + survey + 全 exploration lifecycle,"Series D · USD $100M (A$150M) · Dec 11-12, 2024 · at USD $525M (A$800M+) valuation (led by Teachers' Venture Growth)","早期 Seed/A/B (具体未完全披露) → Series C A$50M (May 2023, led by Blackbird Ventures) → Series D A$150M (Dec 2024, led by TVG) at A$800M+ valuation (估值 19 个月翻倍)","Series D lead: Teachers' Venture Growth (TVG, Ontario Teachers' Pension Plan)。Returning: Blackbird Ventures, Hostplus, Horizons Ventures (Li Ka-shing), Artesian Venture Partners, Alumni Ventures。Earlier: Grok Ventures (Mike Cannon-Brookes)","✅ USD $525M (A$800M+) (Series D Dec 11-12, 2024 — 该 cohort 中唯一公开估值)","https://www.fleetspace.com/newsroom/fleet-space-isoenergy-to-pioneer-ai-mineral-exploration-tech-at-larocque-east-in-athabasca-basin
https://www.globalminingreview.com/mining/06032025/fleet-space-acquires-hiseis/",
VerAI,https://ver-ai.com/,"Yair Frastai (CEO, Co-Founder, Board Director), Amitai Axelrod (COO, Co-Founder, Board Director)",2020,"B2B AI-driven mineral asset portfolio generator — proprietary AI Discovery Platform 识别 concealed deposits,自有/optionize mineral licenses,通过与 explorers/developers 的 JV 以 equity stakes + royalties 变现 (不是 SaaS vendor)","AI/ML + ""Defense Intelligence search & find methodologies"" (创始人背景)。""AI Search Profiles"" library,训练于不同类 economic orebodies + geological setting。数据 = 真实多模态地球物理: magnetic + gravimetric + electromagnetic + seismic。无 diffusion claim / 无具体架构披露 / 无合成数据 (明确表述 ""pure machine learning"")","Greenfield / concealed deposits in covered terrains (明确不做 brownfield,聚焦覆盖层下未发现的 deposit)","Series B · $24M (first closing) · Feb 26, 2025 (led by Insight Partners)","Seed/Series A 等早期轮次 (2020-2023,具体未完全披露) → Series B $24M first closing (Feb 2025, Insight Partners lead)。总融资 ~$39.4-39.6M (per PitchBook & CBInsights)","Insight Partners (Series B lead, Jeff Horing 进董事会), Blumberg Capital (Stanton Green 在董事会), Chrysalix Venture Capital (Charles Haythornthwaite 在董事会), Orion Industrial Ventures / Orion Resource Partners, funds advised by T. Rowe Price Associates","未公开 (Series B first closing $24M Feb 2025,Insight Partners 领投;总融资 $39.6M;无公开估值)","https://www.canadianminingjournal.com/featured-article/making-the-unseen-seen/
https://ver-ai.com/ai-powered-mineral-discovery-technology-company-verai-raises-12m-to-radically-improve-the-ability-to-locate-concealed-minerals-critical-for-a-sustainable-future/",
Earth AI,https://www.earth-ai.com/,"Roman Teslyuk (Founder & CEO), Igor Gerechko (Co-Founder)","2017 (Sydney, Australia + Los Angeles; Tracxn 另记 2016 / San Mateo)","Vertically-integrated ""predictive explorer"" — 非纯 SaaS: 自有 AI Mineral Targeting Platform (MTP) + 自有 Mobile Low-disturbance Drilling (MLD) 钻机,自己发现并钻探 greenfield 项目,通过项目价值 / JV / 权益变现;声称 75% discovery success rate、降本 up to 80%、~$100/meter 钻探成本","机器学习 predictive targeting —— consume remote sensing + radiometry + geophysics + geochemistry 多源 (公开 + 自采) 数据,预测 critical-metal 矿点;配合自研 MLD 移动钻机闭环验证。聚焦 lithium / copper / gold / nickel / palladium / manganese。无 diffusion 声明 (predictive ML targeting)",Greenfield exploration + 自有钻探验证 (end-to-end targeting → drilling);已在澳洲发现 palladium + gold 系统,"Series B · $20M · Jan 27, 2025 (oversubscribed, co-led by Tamarack Global + Cantos Ventures)","首轮 Feb 2017 → YC + 多轮 → Series B $20M (Jan 2025, Tamarack Global + Cantos Ventures co-lead)。总融资 ~$43.4M over 6 rounds (per Tracxn)","Tamarack Global (co-lead), Cantos Ventures (co-lead), Overmatch, Alpaca VC, Sparkwave Capital, Y Combinator, Scrum Ventures, DCVC (per Tracxn)",未公开 (Series B $20M Jan 2025;估值未披露),"https://www.prnewswire.com/news-releases/earth-ai-closes-oversubscribed-round-raising-20m-for-ai-driven-mineral-exploration-302360289.html
https://tracxn.com/d/companies/earthai/__J7x1mos7YzKRWJFt73lmdQw9ODINgJy0vqPHaM4bkoo",
TerraDX,https://www.terradx.ai/,Colby Mintram (Co-Founder & CEO) — spun out of Durendal Resources Inc.,"2023 (Vancouver, BC, Canada;公开发布 April 2024)","B2B AI/SaaS for mineral exploration —— web-based GIS 平台 + 在研 ""Foundation Model for Subsurface Intelligence"";早期阶段,GTM 经 direct deals + 战略合作 (如 Battery X Metals JV)","HORIZON (High-Resolution Ore Investigation Network) —— purpose-built Deep Neural Network (DNN),跑在 Databricks Mosaic AI + MLflow 上。数据 = 真实公开地质数据:Geological Survey of New South Wales (Central Lachlan Orogen) 的 geophysical + exploration data;不依赖地表地化/直接探测,可在 cover 之下分类矿点,把 area of interest 缩 98%。无 diffusion / 无合成数据。NVIDIA Inception 成员",Greenfield / 区域 targeting (在 onsite exploration 之前缩小靶区),"Pre-Seed · C$1.45M · Dec 30, 2023 (per Diffbot/employbl)","从 Durendal Resources Inc. spin out → 公开发布 April 2024 → Pre-Seed C$1.45M (Haywood Securities, Canaccord Genuity) → NVIDIA Inception (non-equity accelerator)","Haywood Securities, Canaccord Genuity",未公开 (Pre-Seed C$1.45M;无估值披露),"https://financialpost.com/globe-newswire/durendal-resources-unveils-terradx-revolutionizing-the-discovery-of-critical-metals-with-cutting-edge-technology
https://www.databricks.com/customers/terradx",
Datarock (IMDEX),https://www.imdex.com/software/datarock,"Liam Webb (Co-founder & CEO, 前 MMG geoscientist), Brenton Crawford (Co-founder), Tom Carmichael (Co-founder) — 源自 Solve Geosolutions + DiUS 两家咨询公司 JV","2018 (Melbourne, Australia;platform launched 2019)","AI-powered geoscience SaaS + Applied Science consulting;现为 IMDEX (ASX:IMD) 全资子公司,并入 IMDEX Digital Earth Knowledge (DEK) 组合 (HUB-IQ / aiSIRIS / MinePortal / EarthNET)","Computer vision / 机器学习 —— 自动从 core imagery (RGB photography)、video、point clouds 提取地质 + 岩土信息,监督训练 (expert annotations)。已处理 20M+ 米岩芯影像、200+ 数据科学项目;客户含全球 top-10 矿企 (Rio Tinto 为早期采用者)",多阶段:exploration + resource definition + production (brownfield + greenfield 全周期),"⚠️ 不适用——已被 IMDEX 100% 收购。Feb 2, 2026 IMDEX 完成剩余股权收购 (~A$31M),实现 100% 持股","2018 Solve+DiUS JV → Nov 2021 IMDEX 收购初始 30% (A$5.5M) → Nov 2021–Jul 2024 增持至 51% → Feb 2, 2026 收购剩余 49% 至 100% (~A$31M)",⚠️ IMDEX Limited (ASX:IMD) — sole owner (CEO Paul House);无外部 VC,"隐含 ~A$63M (IMDEX 以 A$31M 收购剩余 49%,implied 100% ~A$63M) — acquisition-implied,非市场估值","https://www.imdex.com/news-knowledge/news/imdex-completes-datarock-acquisition-accelerating-digital-earth-knowledge-expansion
https://www.coreinnovationhot30.com.au/datarock",
4POINT (GEOPHYSICAL AI),https://4point.ai/,"Cody Zazulak (Co-Founder & CEO, MIT background), Jordan Zazulak (Co-Founder & CTO)","2024 (San Francisco / Culver City, California, US;有 Canada presence)",Pre-Seed 地球物理 AI/ML predictive ore mapping —— foundation models 检测 gold/copper/nickel/graphite/lithium/cobalt/REE/uranium;GTM 经 government agencies + accelerators;产品 Terra-X (geological reasoning workspace) + SIIM enterprise deployment,Deep learning + Graph Neural Networks (GNN) + Reinforcement Learning (团队含 GNN/RL PhD)。分析 thousands of km² 的 geospatial data 做 predictive targeting + drill prioritization;SIIM = Spatially Informed Intelligence Model,Target Screening (greenfield) + Survey Design + Drill Prioritization,Pre-Seed · ~£150k–250k · 2024 (via Techstars LA FW24 cohort;金额未精确披露),"Pre-Seed (2024, Techstars LA FW24, JPM-sponsored cohort) — 目前唯一已知轮次","Techstars (Techstars LA FW24), Krane Ventures, ID3 Ventures",未公开 (Pre-Seed),"https://linkedin.com/company/4point-ai
https://www.onstage.vc/focals/4point-ai",
MINERAL FORECAST,https://www.mineralforecast.com/,"Javier Muñoz González (CEO & Co-Founder), Arturo Rochefort (COO & Co-Founder)","2014 (Santiago, Chile)","B2B Geosciences-AI SaaS —— 该 cohort 中最成熟的产品化之一 (Geo AI Advisor 平台:Geo Insights Hub + AI Targeting + Explainability Analytics);深耕 LATAM (Chile/Peru/Mexico),客户含 First Majestic Silver;经 Harvard iLabs + Techstars 孵化",多模型 ML geoscience —— 检测 geological patterns 预测 mineralization;消费 satellite imagery + geochemical surveys + drilling logs + geophysics 多源数据;强调 explainability (支撑 greenfield + brownfield 靶区的可解释报告)。声称 4× 更有效钻探、+25% 更快发现、-30% 钻探成本,全阶段:early/advanced exploration + greenfield + brownfield + mine-site optimization,"Unattributed VC · ~$3.2M · Mar 7, 2024 (另有 Techstars Boston F23 $20K, Sep 2023)","Harvard iLabs/VIP + Launch Lab X 孵化 → Techstars Boston F23 ($20K, Sep 2023) → Unattributed VC $3.2M (Mar 2024);总融资 ~$3.32M over 5 rounds","Techstars, Alumni Ventures, Spider Capital Partners, Launch Lab X, Harvard Venture Incubation Program (+4 undisclosed;CBInsights 列共 7 家)",未公开 (总融资 ~$3.32M;无估值披露),"https://www.cbinsights.com/company/mineral-forecast
https://www.mineralforecast.com/news-press/mineral-forecast-participates-in-demo-day-in-boston-in-front-of-select-international-investors-and-mentors/",
MATERIAL DIFFERENCE,https://materialdifference.earth/,"Gabriel Yoong (mechanical engineer, Cambridge/Imperial College London), Luke Cullen (mining geophysicist, Cambridge PhD)","2025 (incorporated 21 July 2025, London/Cambridge, UK;MATERIAL DIFFERENCE LTD, company no. 16597324)","Stealth-mode Pre-Seed —— explainable + uncertainty-aware AI for critical mineral exploration;口号 ""building AI that understands the underground to solve the $5.3 trillion critical mineral shortage"";入选 Founders Factory + Rio Tinto Mining Tech Accelerator (500+ 申请选 6)","公开差异化点 = explainable AI (auditable resource delineation,非 black-box predictions) + uncertainty quantification;具体 ML 架构未公开 (仍 stealth)。无 diffusion / GNN / foundation-model 的公开声明",Resource delineation / ore body knowledge (brownfield / resource definition 取向),"Pre-Seed (via Founders Factory + Rio Tinto accelerator;金额未披露,Tracxn 标 undisclosed)",2025 年成立 → 入选 Founders Factory + Rio Tinto Mining Tech Accelerator cohort (该 accelerator 组合已获 ~US$120M follow-on),Founders Factory + Rio Tinto (mining tech accelerator —— 提供资金 + Rio Tinto operational pilot access),未公开 (Pre-Seed;Tracxn 标未披露),"https://www.investmets.com/rio-tinto-founders-name-latest-accelerator-cohort/
https://find-and-update.company-information.service.gov.uk/company/16597324",
